zipcode,average_price
1017GM,214
1091VD,112.5
1071VW,70
1094SZ,79
1016PN,172.5
1073AE,200
1076BT,120
1058GV,200
1091DK,220
1057BG,50
1054CB,198.33
1079AD,180
1019PM,100
1071RT,295
1052KA,75
1013JL,300
1081EA,104
1019WK,100
1052CN,135
1015EB,140
1095EX,120
1095AN,99
1055EB,83
1011TD,120
1079CL,90
1017VG,99
1017ED,189
1015KL,247.5
1019BG,214
1091VM,78.5
1016RX,229
1072SX,104
1011RM,120
1092EH,100
1017ZT,165
1055LR,200
1079DT,100
1087KB,241.67
1051VM,90
1013GB,124
1018BA,90
1011KT,130
1072JL,400
1051AN,110
1053SJ,157
1055LT,200
1059VT,89
1058DL,79
1071GB,99
1013SN,157.5
1013EC,104.5
1074GJ,110
1053CG,95
1011JH,130
1016VT,119.33
1097AL,135
1012BG,125
1015JJ,158.33
1073GL,98
1069PR,70
1075TB,153.33
1058KC,190
1013LA,143.33
1016BT,185
1018GH,90
1032HA,100
1031GZ,115
1011PV,110
1053XL,60
1015XE,125
1051KP,112.5
1072XW,172.5
1054MJ,115
1052SX,75
1068LH,150
1053JG,135
1011TL,130
1019DC,129.5
1052KH,132.5
1011HL,115
1012AZ,120
1032BW,85
1055BV,75
1092VW,100
1073EZ,200
1018ZC,110
1066WS,100
1053BB,123
1052CH,99
1093BS,103
1017VH,199
1071VA,145
1058BA,75
1055AD,112.5
1051LP,140
1079DR,119
1011KM,235
1016XA,120
1091BX,94
1022AC,105
1012LT,95
1053LD,125
1054MS,124
1052GM,125
1013AW,121.33
1074BR,325
1081EZ,89
1017EN,306.5
1072GM,65
1013HW,75
1051XH,99
1072SE,100
1017HZ,124
1012WN,200
1075ER,209
1056EZ,85
1058GX,149
1074VD,175
1212AB,110
1052NJ,150
1054VB,120
1075LS,75
1052NC,120
1079AX,150
1060RT,200
1091DM,160
1061MC,115
1018XD,65
1072XC,120
1016DX,185
1074HX,90
1056RK,145
1025LE,200
1095WB,135
1015CE,149
1072AE,139
1015AM,130
1071BZ,99
1083EM,65
1052KT,100
1051TM,110
1078RK,75
1056CS,125
1076XS,96
1072HD,156.67
1053ZX,139
1013LM,192.5
1011VM,193
1073VS,200
1055TP,144.5
1071KX,310
1078CE,85
1016ND,112
1016HE,215
1071AN,55
1016HV,180
1012VJ,110
1054VX,97.5
1058NG,75
1051LE,95
1092TG,102
1017VB,145
1025TE,59
1052RT,120
1079SW,100
1016GX,199
1017EC,125
1054HL,157.5
1015JL,70
1034ZD,117.5
1056SN,159
1013HX,135
1017WC,200
1056VK,130
1013LE,200
1073CA,200
1079BB,150
1091CK,129.5
1056PV,90.5
1018CW,200
1016AT,198
1054LZ,91
1091HJ,90
1060RM,200
1017HE,250
1023CW,75
1075XH,125
1052KP,187.5
1019PK,80
1097ER,165
1073EX,129.67
1018XX,200
1054XX,80
1057TK,95
1074AM,100
1051HG,185
1086XT,117.5
1073TX,195
1061WB,88
1076BM,95
1058NA,95
1015HX,80
1015GA,99
1052BT,200
1094EB,85
1057VV,175
1059AD,80
1015BT,320
1091RP,120
1018NA,200
1095TE,99
1054WN,130
1073BW,127
1053SE,140
1033HK,87.5
1072TV,90
1071WJ,150
1013DX,95
1073CK,85
1077DC,99
1093NA,99
1018BH,164
1056NN,80
1015RC,175
1058TZ,103
1054ML,228
1019BT,210
1034XC,110
1073EL,73
1019TN,240
1074AN,395
1083AV,119
1019TK,200
1055DC,60
1094GX,125
1052GS,100
1013MM,175
1052VH,150
1071XM,60
1091CR,80
1016BG,300
1058SL,84
1013ZN,119
1074XJ,85
1079VJ,150
1078RJ,70
1079NX,140
1092EV,180
1092VP,80
1076CZ,95
1013NV,85
1094GE,121
1071VR,160
1062CG,195
1031XB,75
1051VC,109
1012TD,100
1017XN,165
1078GZ,130
1018XW,107
1094HL,100
1087MK,55
1072XR,80
1015GG,145
1054KA,140
1051GL,88
1054HX,260
1016DR,155
1012PP,310
1098CA,85
1056SL,79
1051BT,95
1053TP,140
1054AT,135
1018TZ,225
1082HG,72
1033HB,175
1051XE,85
1078NW,85
1087EP,130
1053WK,345
1051XL,95
1058BZ,92
1094JK,88.5
1098HX,150
1019AZ,110
1078RW,125
1053RZ,175
1018VG,141.33
1072GW,115
1017TK,122.6
1087HA,185
1053ZT,143.33
1059TC,99
1072BN,125
1074GD,200
1051VD,110
1021BM,150
1054DK,115
1017RW,135.5
1052CB,100
1056XP,87.5
1052KE,100
1071VH,90
1025LR,260
1013GL,95
1052EH,115
1016LN,94
1025LS,225
1013RJ,105
1019TB,200
1015WE,99
1012PM,160
1057AM,120
1056WT,96
1015JS,125
1091KD,137
1018ZN,115
1094HB,107.5
1071TZ,135
1018SK,168.4
1057HW,113
1011GB,100
1091WS,125
1018XN,139
1054WB,105
1074CS,170
1071KV,125
1012HR,135
1056VX,95
1053LP,140
1065HH,75
1079NE,110
1013HG,161.25
1091JB,107
1073AA,190
1016TN,240
1011BC,97
1121DG,99
1019CP,69
1091RX,200
1072HT,145
1018EG,90
1016EP,120
1073BH,186.5
1018AV,158
1054LX,115
1019GW,132.5
1012NG,159
1051GA,85
1013KW,180
1056PX,140
1051AL,200
1013GG,374
1016LM,150
1059AK,80
1016SK,130
1071JC,130
1019MA,225
1071AT,210
1074VA,115.67
1054ZA,150
1055AP,85
1012AE,155.75
1013WB,249
1056XL,110
1091KV,70
1057KC,195
1072HE,140
1015BX,350
1015EA,149.5
1057JL,90
1062GL,76
1073LL,129
1091CH,125
1012GB,210
1075GX,90
1054XR,195
1074EN,114.67
1022AB,348.6
1073BZ,120
1054BT,199
1011HD,132.5
1026BX,395
1015LZ,190
1016XG,140
1093RT,67
1098JA,130
1091WX,75
1021LG,105
1071SB,110
1056RE,79
1093HD,270
1074VJ,130
1031KC,99
1079WP,209.5
1015TB,196.33
1059EL,140
1052LR,127.5
1077AH,300
1056GA,500
1087MB,110
1054WE,145
1051VP,80
1056VG,100
1066TC,185
1095BJ,109
1035XV,110
1016TS,200
1096CJ,100
1072JG,180
1012KL,226.67
1031GN,75
1087AX,149
1052TN,50
1073AD,99
1016DN,126.67
1056KX,65
1074VS,160
1051MC,125
1019BZ,110
1076ST,175
1072CP,60
1098BM,400
1078PH,140
1012NS,125
1072VP,173
1015KH,99.5
1017SR,125
1071EV,349
1052SH,166.67
1056JH,87.5
1015HP,250
1094JP,79.5
1075CH,220
1053ML,280
1017DD,260
1025JH,95
1018BJ,265
1017AL,324.6
1056ER,105
1021LR,70
1012NK,119.33
1055HX,99
1073EN,229.67
1015JP,136
1021LH,120
1012ET,130
1013SJ,79
1078MK,90
1056DA,75
1059VV,100
1035SX,150
1093AD,140
1011PW,130
1061TH,99
1059BD,90
1068RR,149
1011TB,250
1096GG,106.67
1076XX,135
1058KJ,100
1051BV,90
1052HD,160
1121DD,199
1018WN,150
1011LE,170
1091NZ,80
1095VG,85
1055TK,87.5
1054PH,147
1017AK,140
1011BH,250
1095DK,68
1016RA,380
1034JL,250
1012WC,90
1098GW,140
1021PW,125
1071ED,120
1013LZ,210
1058DN,112
1058GR,89
1053XP,120
1091TS,100
1012VP,130
1056HE,108.33
1056BM,198
1012JV,100
1053VN,110
1013NT,135
1054GR,110
1016TH,165
1054SN,199
1017GA,120
1017LV,155
1052JC,115
1035PS,70
1053LS,320
1091TN,119
1059EJ,159
1011JM,137.5
1091TE,107
1078HC,95
1086ZC,199
1016PG,178.33
1015DZ,162.5
1012SV,170
1059VR,89
1019DK,175
1053MS,134.5
1071RH,350
1064NS,250
1017ZG,115
1056KK,140
1073BE,79
1094CD,125
1013PR,115
1093GB,172
1025LA,135
1094HV,77
1079NC,139
1091AG,95.67
1016SZ,195
1071TX,185
1079GP,99
1094EA,89
1016BB,359
1018DW,116.6
1052EB,145
1018EK,166.67
1015RM,107.5
1053HJ,118.5
1025LJ,125
1075VS,100
1016VC,92.5
1072AZ,150
1073GJ,89.75
1074VC,95
1052SJ,145.5
1071MS,150
1015MK,200
1023AM,99
1015DX,140
1017AN,99
1057EP,76
1053LJ,100
1055BB,75
1054XS,79
1057BN,280
1017EB,160
1018AK,131.8
1073LM,159
1018CN,135
1055VX,80
1092KS,79
1013MD,186
1091EB,170
1091ST,145
1018KP,74
1019AW,148.17
1051XP,69
1074AK,150
1055KX,70
1058DP,92.5
1011DD,120
1072TN,87
1075TA,85
1033BH,75
1053JD,99
1059VW,95
1072ED,144
1013ST,112.5
1019RR,100
1092SC,100
1053AS,100
1054MX,107.5
1052JW,141
1078GP,109
1051GP,89
1056KT,79
1083BC,140
1013KT,214.67
1052LW,98
1072GZ,200
1032JS,200
1054BH,119
1073GE,136.5
1017GE,140
1075HC,300
1016VB,158
1073BK,129
1057ER,100
1071JV,350
1093NB,100
1012RR,300
1016HA,220
1094CR,49
1093JL,80
1060TN,85
1017LB,130
1012TA,230
1015KR,109
1058XL,155
1011CB,126
1078LM,150
1053CT,85
1056PL,100
1071ST,189
1081JD,149
1017WN,155
1018EB,130
1057EV,89
1073CW,105
1078LN,100
1017WB,138.5
1055GJ,50
1075XT,65
1078GL,140
1013CL,120
1019HK,85
1051TT,125
1076JB,125
1092VA,86.67
1015MP,136.67
1056NR,75
1031XX,85
1054DD,189
1057HC,88
1056JM,100
1073RZ,119
1012SG,106
1058JH,225
1069SC,60
1054XL,80
1017TB,175
1019PE,119
1091BC,110
1013GW,128.33
1019BD,156.25
1078XV,80
1013AZ,175
1013GN,250
1087GT,110
1059CZ,263
1095CM,125
1016LK,200
1094XR,85
1015DL,170
1053BJ,100
1082HT,45
1019SZ,120
1058NP,200
1078XZ,214.5
1051EV,200
1011AZ,120
1012DC,159
1052BG,97.5
1097AB,55
